part_num,name,color_name,quantity
3170,Plate Special 1 x 2 with 2 End Towballs,Black,1
61332,Technic Pin with Friction Ridges Lengthwise with No Center Slots,Black,1
22484,Bar 2L with Towball,Dark Bluish Gray,2
79389,Bracket 1 x 1 - 1 x 2,Dark Bluish Gray,2
32803,Brick Curved 2 x 2 x 2/3 Inverted,Dark Bluish Gray,1
98876,"Cockpit 4 x 2 x 3 with Pin Hole, and 2 Clips",Dark Bluish Gray,1
69755,"Launcher Trigger, Weapon Gun Trigger",Dark Bluish Gray,2
22890,Plate Special 1 x 2 with End Towball,Dark Bluish Gray,2
4304,Plate Special 2 x 2 x 2/3 with Two Studs On Side and Two Raised Half Hollow Anti-stud,Dark Bluish Gray,1
18674,Plate Special Round 2 x 2 with Center Stud (Jumper Plate),Dark Bluish Gray,2
32802,Slope Inverted 45° 4 x 1 Double with 1 x 2 Recessed,Dark Bluish Gray,2
3709,Technic Plate 2 x 4 [3 Holes],Dark Bluish Gray,2
15068,Brick Curved 2 x 2 x 2/3,Dark Red,6
24309,Brick Curved 3 x 2 No Studs,Dark Red,1
2654,Plate Round 2 x 2 with Rounded Bottom [Boat Stud],Dark Red,3
27167,"Plate Special, 2 x 2 Studs and Handle, Closed Ends (Mech Chest Plate / Armor)",Dark Red,1
85984,Slope 30° 1 x 2 x 2/3,Dark Red,2
15672,Slope 45° 2 x 1 with 2/3 Cutout [New Version],Dark Red,4
3068bpr9329,Tile 2 x 2 with Sand Green/White Rectangle Arc Reactor print,Dark Red Tiles,1
25269,Tile Round 1 x 1 Quarter,Dark Red,2
14769,Tile Round 2 x 2 with Bottom Stud Holder,Dark Red,2
99563,Tile Special 1 x 2 with Sloped Walls AKA Money / Gold Bar [Ingot],Dark Red,6
47759,Wedge Sloped 45° 2 x 4 Triple,Dark Red,2
99781,Bracket 1 x 2 - 1 x 2,Dark Tan,3
35480,Plate Special 1 x 2 Rounded with 2 Open Studs,Dark Tan,2
60478,Plate Special 1 x 2 with Handle on End [Closed Ends],Dark Tan,1
11203,Tile Special 2 x 2 Inverted,Dark Tan,2
51739,Wedge Plate 2 x 4,Dark Tan,2
14704,Plate Special 1 x 2 5.9mm Centre Side Towball Socket,Light Bluish Gray,6
73109,Technic Brick Special 1 x 2 with Pin Hole and 1 x 2 Plate,Light Bluish Gray,1
2654,Plate Round 2 x 2 with Rounded Bottom [Boat Stud],Opal Trans-Light Blue,1
3171,"Animal / Creature Body Part, Claw with Clip",Pearl Gold,4
47457,Brick Curved 2 x 2 x 2/3 Two Studs and Curved Slope End,Pearl Gold,2
69754,"Launcher, Plate Special 1 x 2 with Mini Blaster Square",Pearl Gold,2
79846,Plate Angled 2 x 2 with Step and Hole in Center,Pearl Gold,4
48336,Plate Special 1 x 2 [Side Handle Closed Ends],Pearl Gold,1
47456,"Wedge Curved 2 x 3 x 2/3 Two Studs, Wing End",Pearl Gold,2
79194,Plate Round 1 x 1 with Hollow Stud and Bar on Underside - Long Space,Trans-Clear,1
4740,Dish 2 x 2 Inverted [Radar],Trans-Light Blue,2
98138,Tile Round 1 x 1,Trans-Light Blue,4
3062b,Brick Round 1 x 1 Open Stud,Trans-Red,2
15303,"Projectile, Spring Shooter Ammunition 8L Bar",Trans-Red,1
61332,Technic Pin with Friction Ridges Lengthwise with No Center Slots,Black,1
69755,"Launcher Trigger, Weapon Gun Trigger",Dark Bluish Gray,1
25269,Tile Round 1 x 1 Quarter,Dark Red,1
79194,Plate Round 1 x 1 with Hollow Stud and Bar on Underside - Long Space,Trans-Clear,1
98138,Tile Round 1 x 1,Trans-Light Blue,1
fig-015921,Iron Man Minifig,,1
fig-015925,Ultron Minifig,,1
